#{"t_start": 1658822712.01424, "env_id": "CarRacing-v1"}
r,l,t
-16.504895,215,2510.151725
-55.89257,272,2513.905642
-22.818792,1000,2520.902985
-48.78042,293,2522.905544
-47.713919,284,2524.866768
-57.365886,277,2526.782057
-60.135052,324,2531.373936
-51.64106,279,2533.527053
-60.25,291,2535.750509
-56.271429,278,2537.774467
-42.307692,1000,2545.056754
-44.966667,284,2548.932915
-35.153584,1000,2556.100358
-15.824916,1000,2565.370384
-15.750916,1000,2573.021654
-57.278049,275,2575.121718
-26.223906,206,2576.650632
-19.463087,1000,2586.01361
-33.760777,222,2587.66768
-42.893617,281,2589.641459
-22.261484,1000,2598.632777
-41.890747,274,2600.647067
-43.850267,1000,2608.079683
-56.508185,349,2610.664252
-10.852713,1000,2619.43538
-58.545016,326,2621.71531
-47.732877,266,2623.565661
-63.330097,411,2626.513609
-32.20339,1000,2635.361051
-43.466667,269,2637.363508
-12.878788,1000,2644.222402
-23.322684,1000,2653.113363
-15.194346,1000,2660.132038
-58.835052,311,2664.206768
-63.055891,266,2666.211759
-51.275676,257,2667.919245
-22.261484,1000,2674.688048
-64.002589,353,2677.081126
-29.390909,204,2680.423693
0.343243,180,2681.765379
-65.883871,305,2683.904835
-29.012346,1000,2691.173175
9.837226,180,2692.482647
-50.519188,318,2696.66307
-48.541791,270,2698.543946
-54.235052,265,2700.466771
-63.092739,358,2703.05934
-64.073427,376,2705.74386
-35.135135,1000,2715.486747
-16.981132,1000,2722.139753
-33.130699,1000,2731.488163
-33.73494,1000,2738.867788
-27.868852,1000,2748.715195
-26.174497,1000,2756.064947
-11.196911,1000,2764.994426
-23.344948,1000,2772.259865
-55.387179,260,2774.242982
-20.558466,197,2775.744177
-25.661905,210,2777.255924
-5.660377,1000,2786.05086
-56.132258,272,2787.942359
36.411765,181,2789.232041
-14.396887,1000,2798.029736
6.0,191,2799.412829
-43.918543,268,2801.354031
-62.430201,330,2803.710822
-46.354839,271,2805.594033
48.407905,177,2806.91345
-55.194118,325,2809.127625
-67.431884,313,2811.470259
-63.988545,322,2815.797321
-32.307692,1000,2822.892216
-29.530201,1000,2831.585523
-25.170068,1000,2838.484207
-48.387097,1000,2847.373531
-34.707904,1000,2854.742782
-26.739927,1000,2863.661767
-58.702065,1000,2870.98074
-66.713772,237,2872.718749
0.713879,275,2874.738821
-27.33564,1000,2883.914988
-52.604575,246,2885.713016
-13.357401,1000,2892.573684
-24.137931,1000,2901.930972
-58.813589,286,2903.9883
-17.040684,160,2905.133001
-15.129151,1000,2914.327957
-22.509225,1000,2922.336851
-42.176871,1000,2932.450493
-50.679336,172,2933.72901
-38.697318,1000,2941.005904
-68.3,184,2942.398038
-65.208464,186,2943.867833
26.944444,176,2945.143333
-27.93834,229,2948.657111
-18.149466,1000,2955.365444
-51.063309,303,2957.399262
-23.357664,1000,2966.315221
-45.094118,224,2967.966162
